view_name,week,p05,p10,p25,p50,p75,p90,p95,central_50_width,central_90_width
current_view,52,5.111001784079952,5.406807439464191,5.901918686342977,6.42786553824338,6.992992032541871,7.489454231615628,7.778912824183409,1.0910733461988933,2.6679110401034567
higher_for_longer_view,52,5.180604556268153,5.494642204107185,6.009287946107111,6.56040787300687,7.146861852869888,7.679745568592522,7.984959043891564,1.1375739067627766,2.804354487623411
soft_landing_view,52,5.064690268769611,5.351873683556541,5.810447549385434,6.323112077163225,6.857203302308145,7.3535247250363796,7.672396813930473,1.046755752922711,2.6077065451608625
recession_view,52,4.732921056845955,5.067945586724731,5.6675732927001565,6.248195409151421,6.857710590703116,7.4026688247798695,7.716466438139194,1.1901372980029592,2.983545381293239
stress_view,52,4.909534115630581,5.26764042447216,5.851330064666473,6.473732163470149,7.105210487243176,7.675657061266811,8.029254865978931,1.253880422576703,3.1197207503483497
