model_name,rmse,mae
combined_component_model,0.06802548893376106,0.05336576980317108
baseline_dgs10_plus_model_spread,0.07086743579739584,0.054923724939554414
no_change_mortgage_baseline,0.09500228168844976,0.07445086705202311
model_dgs10_plus_baseline_spread,0.0972465238225506,0.07601236115443342
