dataset_label,alpha,baseline_test_rmse,baseline_test_mae,val_rmse,val_mae,test_rmse,test_mae
dgs10_full_features,0.1,0.18933714615282127,0.1476300578034682,0.1743290965643834,0.1311909776166809,0.3090112361045488,0.28034441662000265
dgs10_full_features,1.0,0.18933714615282127,0.1476300578034682,0.15072103603223108,0.11179833775417324,0.24177815490113388,0.21386175547552502
dgs10_full_features,10.0,0.18933714615282127,0.1476300578034682,0.1301703749437578,0.0978256344628797,0.17517820331588418,0.1491268057599182
dgs10_full_features,50.0,0.18933714615282127,0.1476300578034682,0.12616334415713656,0.09496729200146294,0.16130977753457487,0.13540894666973635
dgs10_full_features,100.0,0.18933714615282127,0.1476300578034682,0.12451922317016675,0.09364773583634937,0.15634067972983742,0.13048682614745624
dgs10_full_features,250.0,0.18933714615282127,0.1476300578034682,0.12177705854101424,0.09121849693287266,0.1486154104706699,0.12264180696241003
dgs10_full_features,500.0,0.18933714615282127,0.1476300578034682,0.11956742497469647,0.08952798277350633,0.14223009910974935,0.11585654805171904
dgs10_full_features,1000.0,0.18933714615282127,0.1476300578034682,0.11782119659832505,0.08831428628801262,0.1367665182623969,0.10937551845235516
dgs10_core_features,0.1,0.18933714615282127,0.1476300578034682,0.12030012974822021,0.09036764481208555,0.13406199260126894,0.1049422249782745
dgs10_core_features,1.0,0.18933714615282127,0.1476300578034682,0.12038779943174104,0.0903305346347397,0.13402053939122233,0.10489547202650075
dgs10_core_features,10.0,0.18933714615282127,0.1476300578034682,0.12040270168591653,0.0902519926721962,0.13389045501642588,0.10475874029105682
dgs10_core_features,50.0,0.18933714615282127,0.1476300578034682,0.11936832762665499,0.08952728304464021,0.13344621836769852,0.10434707176921783
dgs10_core_features,100.0,0.18933714615282127,0.1476300578034682,0.11843755632982181,0.08889074092225928,0.13299086517270253,0.10400320028261102
dgs10_core_features,250.0,0.18933714615282127,0.1476300578034682,0.11712153129522171,0.08796228399803148,0.1321581318567258,0.10330360739578383
dgs10_core_features,500.0,0.18933714615282127,0.1476300578034682,0.11637616161094631,0.08756650840826946,0.13149665825878137,0.10266540838156073
dgs10_core_features,1000.0,0.18933714615282127,0.1476300578034682,0.11602488379443376,0.08740053503934607,0.13099209032659104,0.10222326930252278
