dataset_name,target_col,feature_name
spread_long_12w,target_spread_chg_12w,mortgage_spread_roll_mean_5y
spread_long_12w,target_spread_chg_12w,mortgage_spread_gap_vs_5y_avg
spread_long_12w,target_spread_chg_12w,dgs10_chg_1w
spread_long_12w,target_spread_chg_12w,dgs10_chg_4w
spread_long_12w,target_spread_chg_12w,dgs10_roll_mean_4w
spread_long_12w,target_spread_chg_12w,dgs10_roll_mean_12w
spread_long_12w,target_spread_chg_12w,dgs10_roll_std_4w
spread_long_12w,target_spread_chg_12w,dgs10_roll_std_12w
spread_long_12w,target_spread_chg_12w,vixcls_chg_1w
spread_long_12w,target_spread_chg_12w,vixcls_chg_4w
spread_long_12w,target_spread_chg_12w,vixcls_roll_mean_4w
spread_long_12w,target_spread_chg_12w,vixcls_roll_mean_12w
spread_long_12w,target_spread_chg_12w,vixcls_roll_std_4w
spread_long_12w,target_spread_chg_12w,vixcls_roll_std_12w
spread_long_12w,target_spread_chg_12w,nfci_chg_1w
spread_long_12w,target_spread_chg_12w,nfci_chg_4w
spread_long_12w,target_spread_chg_12w,nfci_roll_mean_4w
spread_long_12w,target_spread_chg_12w,nfci_roll_mean_12w
spread_long_12w,target_spread_chg_12w,nfci_roll_std_4w
spread_long_12w,target_spread_chg_12w,nfci_roll_std_12w
dgs10_short_oas_1w,target_dgs10_chg_1w,DGS10
dgs10_short_oas_1w,target_dgs10_chg_1w,DGS2
dgs10_short_oas_1w,target_dgs10_chg_1w,DGS3MO
dgs10_short_oas_1w,target_dgs10_chg_1w,DGS5
dgs10_short_oas_1w,target_dgs10_chg_1w,DGS30
dgs10_short_oas_1w,target_dgs10_chg_1w,DFII10
dgs10_short_oas_1w,target_dgs10_chg_1w,T10YIE
dgs10_short_oas_1w,target_dgs10_chg_1w,FEDFUNDS
dgs10_short_oas_1w,target_dgs10_chg_1w,CPIAUCSL
dgs10_short_oas_1w,target_dgs10_chg_1w,CPILFESL
dgs10_short_oas_1w,target_dgs10_chg_1w,PCEPI
dgs10_short_oas_1w,target_dgs10_chg_1w,PCEPILFE
dgs10_short_oas_1w,target_dgs10_chg_1w,UNRATE
dgs10_short_oas_1w,target_dgs10_chg_1w,PAYEMS
dgs10_short_oas_1w,target_dgs10_chg_1w,INDPRO
dgs10_short_oas_1w,target_dgs10_chg_1w,VIXCLS
dgs10_short_oas_1w,target_dgs10_chg_1w,yield_curve_10y_2y
dgs10_short_oas_1w,target_dgs10_chg_1w,yield_curve_10y_3mo
dgs10_short_oas_1w,target_dgs10_chg_1w,yield_curve_30y_10y
dgs10_short_oas_1w,target_dgs10_chg_1w,breakeven_real_gap
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs10_chg_1w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs10_chg_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs2_chg_1w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs2_chg_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs3mo_chg_1w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs3mo_chg_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs5_chg_1w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs5_chg_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs30_chg_1w
